Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
10,-0.4215,0.5624,1.2378,0.6541,-0.2145,0.3456,0.4823,-0.0824,0.5614,0.3321,-0.4123,0.4512,0.8123,-0.5821,0.5214,-0.2415,0.1842,-0.0912,0.3415,0.1245,0.1524,0.4126,-0.0645,0.0542,0.1214,-0.0215,0.0412,0.0312,89.50,0
11,0.9542,-0.1154,0.4821,0.8423,0.1524,-0.2245,0.0812,0.0321,-0.1524,0.1425,0.7541,0.6412,-0.1324,-0.2012,0.4215,-0.2841,0.0912,-0.0521,0.2145,0.1712,-0.0512,0.2841,0.0245,-0.0312,0.1524,-0.0412,0.0212,0.0142,54.25,0
12,-1.1245,0.9642,1.4821,0.7241,-0.3124,0.7245,0.6124,-0.1245,0.6241,0.4821,-0.6215,0.4124,0.9521,-0.4512,0.3524,-0.1924,0.2412,-0.1142,0.4015,0.2712,0.1824,0.5241,-0.0712,0.0812,0.1624,-0.0421,0.0512,0.0224,199.95,0
13,1.1842,0.1945,0.3524,0.5124,0.1324,-0.0942,-0.0524,0.0821,-0.1845,-0.1012,1.1542,0.8421,0.2812,-0.1524,0.5842,0.3524,-0.0624,-0.1212,-0.0942,-0.0341,-0.1712,-0.4624,0.0824,-0.2124,0.1212,0.1042,-0.0124,0.0212,22.99,0
14,-0.8421,0.6824,1.1824,0.6124,-0.2142,0.2942,0.3812,-0.1012,0.4824,0.2941,-0.3812,0.3242,0.7842,-0.5424,0.4421,-0.2142,0.1712,-0.0821,0.3124,0.1421,0.1324,0.3842,-0.0612,0.0512,0.1124,-0.0224,0.0312,0.0212,67.80,0
15,-2.2541,2.1842,-0.7245,3.0124,-1.8642,-0.9241,-2.6124,1.2542,-2.5412,-3.7124,3.4821,-1.6842,-3.2145,-4.4821,-0.6212,-2.3842,-3.6824,-2.1842,0.6842,0.9421,1.0124,0.2242,-0.2824,-0.5421,0.3524,0.0842,0.7124,0.3124,1499.99,1
16,0.7421,-0.2842,0.9241,0.7942,0.2642,-0.3421,0.1542,-0.0542,0.2821,0.2124,0.5642,0.4521,-0.1212,-0.0824,0.3221,-0.2145,0.0812,-0.0421,0.1942,0.1342,-0.0442,0.2421,0.0142,-0.0224,0.1021,-0.0242,0.0142,0.0112,83.10,0
17,-0.5142,0.8212,1.3242,0.6842,-0.2442,0.3642,0.4521,-0.1142,0.5542,0.3942,-0.4421,0.3542,0.8721,-0.5921,0.4824,-0.2321,0.1821,-0.0912,0.3442,0.1524,0.1421,0.4042,-0.0624,0.0524,0.1221,-0.0242,0.0342,0.0221,72.65,0
18,1.0421,0.2241,0.2824,0.4542,0.1542,-0.1124,-0.0624,0.0942,-0.2121,-0.1212,1.0424,0.9124,0.3421,-0.1712,0.6124,0.3824,-0.0724,-0.1321,-0.1124,-0.0421,-0.1821,-0.5021,0.0912,-0.2324,0.1342,0.1121,-0.0142,0.0242,15.50,0
19,-1.9421,1.7842,-0.6242,2.6542,-1.6421,-0.7421,-2.2842,1.0821,-2.1821,-3.3242,3.0124,-1.4421,-2.8242,-3.9821,-0.5421,-2.0821,-3.2824,-1.8421,0.5242,0.7942,0.9121,0.1842,-0.2421,-0.4821,0.2942,0.0642,0.5821,0.2524,985.75,1
